user_id,train,test
A10G10SU7SAUG1,B00HFKN2IU|B009PMILQE|B00D83TNRM|B00E1L9QOU|B00AW83HM8|B00IE0ZHBU,B00VHFGJTI|B01C2MHAAG
A10O1AB7D0KYZU,B00R4RQIZI|B00YFX58T6|B01B2AXEHW|B01BYCNHNE|B01C7621UG|B01E3OPNFK|B01F8PA5LA,B00PDK9IR8|B01H01OZIO|B01F003JOS
A10RXRZE0TAKPU,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A10WPKF2VH1JWY,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A10X6EMVZGVX9E,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A10Z8PKPUJ7YHO,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A11050ZKT750SK,B0132IPR0O|B00KDC2YKE|B01C1ZBBRC|B00Z5RU81Y|B013DA6HXM,B01EN6MNJC|B01CTY8KBU
A114KIJEBP6ER7,B00FFMMGYQ|B00CN5B8UG|B00D83TNRM|B00F2OZ5JK|B00DPNZGOE|B00DPNZA7C|B00NNFHF3O|B00DPNZXWY,B00JFCB4MC|B00ENNV74I|B00PFHVATS
A114ZPM7ZABSI7,B00M0FDK1O|B00T4BP0RO|B00WMBVR16|B010N0XCQU|B00VNFTLGA,B00XSX3W1U|B01A50HZ3Y
A11593W66FNIMM,B00MWT9MLK|B01DHU4CK8|B01G17AWKI|B01EH6FBW4|B019776IU2,B01H6P5AT2|B01EJ7SWL8
A1181RLJYUA0CS,B00K8PIZ5E|B00UWCIWV0|B0133Y2U4I|B010KYIZ1G|B00CJ3SAF8|B00KW4L0J4|B00UMLCG7C,B00W1JMXEO|B0111ZAAS4
A11D1CHIO38I0X,B00AIIQJP4|B00JX59WZW|B00KE26ZNU|B00MHDY7F2|B00KA4RSRY|B00WWGLLXK,B00Y2KMO6C|B00HN5BKAE
A11D8CLU9H24YK,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A11FN56JARVENV,B00GSN7R0O|B00XIQJPLI|B016Q7H8TQ|B01F5BV0C0|B017Y3UWXU,B015DWNG6E|B00MPGFVHY
A11GLZLVAUD354,B019OLDAIY|B019OLD61A|B00Z693UK2|B01CJO0WYI|B013Q2KLVG|B01AT4EFE8,B00X92BSNY|B00JXMEA34
A11JLWK8H96AU,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A11MASMYR7CXH1,B005ZUH19I|B00RGN8POW|B013EXSPQA|B01BV2MWLK|B00OXH45CK|B00XC2541I|B00XDO26TI|B01EUO6GVS|B00N1U4QDI|B00YOPYT1I,B016XZCTWW|B013JPC33O|B01EZ57Y7M
A11QLAEZD0YY7A,B00SORIDBY|B00JUJH1IG|B00UB56B66|B0145IEFZ8|B00HYU1C38|B00RJM7WDA|B00S7N998G,B00HMHNHH2|B001G6SITW
A120I5ZY3CWKX9,B007HCMUA2|B009AO6LTQ|B01BE3KDLM|B019QPZIFG|B01E6QVWBE,B00K2YGVS4|B00ENMW7WK
