user_id,train,test
A0986263H7SX62P1SRDD,B00JO5MTXI|B00LD84PGS|B00OR6KCAQ|B00S60V1RW|B00W6TY12Q,B01CKX5Y4Q
A10036437T54UNY5JRYU,B0175YMTNY|B016JN2RUM|B01AA5K7FC|B01DPCVJ9U,B01HCJCDSI
A101HTPLV9HVMR,B00IQZZEYS|B00KW4LIJQ|B00KREP1HQ|B00LMU8IRE|B00PITUJZE,B01B6NFMPW
A104M4DKQ96IT0,B00BMZ5WPU|B0017LD0BM|B0017LGD34,B0017LGD34
A10B949WG5N4GH,B00JN1JMWY|B00IHPLJ50|B00J8AH3FS|B00KHF1NH2,B00LCQ65FA
A10E3QH2FQUBLF,B00RZQ7DAW|B00LJ2XKY6|B014ROS8FS|B00VI91Q78,B00HN809GC
A10EQLKHMDEG2P,B014IV2RKC|B00YGCRX1M|B01BVD0N0G|B00UPN42RY|B018OWYN2G,B01B6O3TOM
A10G10SU7SAUG1,B00HFKN2IU|B009PMILQE|B00D83TNRM|B00E1L9QOU|B00AW83HM8|B00IE0ZHBU,B00VHFGJTI|B01C2MHAAG
A10GJSYEL8U8Z,B01120IT72|B01CJLQMEK|B00YD1P534|B01DMZCPIE,B018K2EPGE
A10HXN4Y080YCV,B016L4CO3O|B01ERLWO1K|B01G6EF10M|B01D8OR3BI|B01F7C8P48,B009ERSRDM
A10O1AB7D0KYZU,B00R4RQIZI|B00YFX58T6|B01B2AXEHW|B01BYCNHNE|B01C7621UG|B01E3OPNFK|B01F8PA5LA,B00PDK9IR8|B01H01OZIO|B01F003JOS
A10ROKQL2HSDAL,B00VR80VUI|B00UFEQUJ6|B00VC8IZOW|B0155YUR6C|B01CETXCGI,B01CM5D6MO
A10RXRZE0TAKPU,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
A10WPKF2VH1JWY,B001IKJOLW|B0058YEJ5K|B0014F7B98|B009MA34NY|B0092UF54A|B005AGO4LU,B010RRWKT4|B014IBJKNO
