epoch,train_loss,epoch_time_seconds,learning_rate
1,1.3623631,0.20878196,0.001
2,1.3029258,0.18554592,0.001
3,1.252891,0.1815474,0.001
4,1.2153597,0.19279194,0.001
5,1.1883373,0.19240332,0.001
6,1.1714168,0.1854651,0.001
7,1.1528016,0.18937445,0.001
8,1.1397489,0.20257568,0.001
9,1.1185968,0.18538737,0.001
10,1.1030444,0.20393705,0.001
11,1.0826937,0.2057476,0.001
12,1.0640781,0.19771886,0.001
13,1.0527836,0.19841361,0.001
14,1.0338668,0.19667912,0.001
15,1.0206496,0.19861126,0.001
16,1.0110747,0.19070864,0.001
17,1.0018209,0.18958402,0.001
18,0.99957967,0.19636583,0.001
19,0.98756963,0.25044608,0.001
20,0.9945431,0.22795272,0.001
21,0.9762383,0.20883775,0.001
22,0.9687104,0.2071383,0.001
23,0.9682703,0.19503617,0.001
24,0.96760285,0.1889813,0.001
25,0.95353085,0.1952734,0.001
26,0.94969743,0.18353915,0.001
27,0.9444563,0.18851757,0.001
28,0.938259,0.19316721,0.001
29,0.9269693,0.18952799,0.001
30,0.922252,0.19159532,0.001
31,0.9263462,0.18821502,0.001
32,0.91411626,0.1852417,0.001
33,0.8997352,0.1972065,0.001
34,0.89801633,0.19670892,0.001
35,0.88364506,0.20479965,0.001
36,0.88637555,0.19317389,0.001
37,0.87244153,0.19838953,0.001
38,0.85898083,0.18806529,0.001
39,0.8520456,0.1905334,0.001
40,0.8435419,0.19182491,0.001
41,0.8248242,0.18938112,0.001
42,0.8116026,0.18160892,0.001
43,0.8050207,0.18969584,0.001
44,0.7916154,0.19267726,0.001
45,0.77629644,0.20595932,0.001
46,0.75533843,0.20274949,0.001
47,0.7518596,0.18972921,0.001
48,0.7348283,0.18243432,0.001
49,0.7253507,0.19620752,0.001
50,0.70533437,0.19134116,0.001
51,0.6875192,0.20471787,0.001
52,0.68208873,0.18424416,0.001
53,0.6755652,0.186301,0.001
54,0.66388917,0.18781924,0.001
55,0.66514987,0.1880219,0.001
56,0.65244377,0.20379233,0.001
57,0.6394487,0.20497465,0.001
58,0.62411916,0.18493962,0.001
59,0.63595426,0.19148302,0.001
60,0.6184891,0.1837461,0.001
61,0.6146015,0.19244361,0.001
62,0.606132,0.18951201,0.001
63,0.5973846,0.18804264,0.001
64,0.58439183,0.19043827,0.001
65,0.5851687,0.18944335,0.001
66,0.5787238,0.19079804,0.001
67,0.57486826,0.18969369,0.001
68,0.55193335,0.20495105,0.001
69,0.56246305,0.1983087,0.001
70,0.5672548,0.19130254,0.001
71,0.5476246,0.18552113,0.001
72,0.5563662,0.19536209,0.001
73,0.5411883,0.18366814,0.001
74,0.53559595,0.18758535,0.001
75,0.5329015,0.18427086,0.001
76,0.5319671,0.19048548,0.001
77,0.5303229,0.18774557,0.001
78,0.52475315,0.18642998,0.001
79,0.5189681,0.1837287,0.001
80,0.5172746,0.19377899,0.001
81,0.5106314,0.19372487,0.001
82,0.5041446,0.19555736,0.001
83,0.4941362,0.1858108,0.001
84,0.48821685,0.18874669,0.001
85,0.4955066,0.19541264,0.001
86,0.49413592,0.19088101,0.001
87,0.48940298,0.19630432,0.001
88,0.47702545,0.18423343,0.001
89,0.46122408,0.18111968,0.001
90,0.4843806,0.18529463,0.001
91,0.46890682,0.18657541,0.001
92,0.4769573,0.19676542,0.001
93,0.46716067,0.19661188,0.001
94,0.4645819,0.1886189,0.001
95,0.46531034,0.18404317,0.0005
96,0.45466682,0.18945146,0.0005
97,0.45145807,0.1811564,0.0005
98,0.45367303,0.18763113,0.0005
99,0.4466819,0.19013143,0.0005
100,0.4476693,0.18825722,0.0005
