epoch,train_loss,epoch_time_seconds,learning_rate
1,1.4506556,0.8671913,0.001
2,1.0573786,1.0074062,0.001
3,0.91895,0.9281082,0.001
4,0.8415021,0.8920922,0.001
5,0.7768584,0.86146665,0.001
6,0.7099443,0.8455672,0.001
7,0.63759965,0.78467655,0.001
8,0.5679147,0.80439353,0.001
9,0.500926,0.81845737,0.001
10,0.4270346,0.8129902,0.001
11,0.3850577,0.8432369,0.001
12,0.34581575,0.8038564,0.001
13,0.3076061,0.7858262,0.001
14,0.2809167,0.8141792,0.001
15,0.25186518,0.77759886,0.001
16,0.24194837,0.78784704,0.001
17,0.24214792,0.8235991,0.001
18,0.21939564,0.9485178,0.001
19,0.20448127,0.8117509,0.001
20,0.20333049,0.8316753,0.001
21,0.19000213,0.77558875,0.001
22,0.1861982,0.7952182,0.001
23,0.1836282,0.762506,0.001
24,0.1727081,0.8233576,0.001
25,0.17756344,0.8650975,0.001
26,0.16771723,0.7756882,0.001
27,0.15789898,0.80669236,0.001
28,0.15562193,0.9366541,0.001
29,0.15366596,0.7718818,0.001
30,0.14403331,0.7887149,0.001
31,0.14795895,0.79756165,0.001
32,0.14752917,0.7574301,0.001
33,0.1355717,0.7820852,0.001
34,0.1321774,0.7548144,0.001
35,0.13291623,0.7744627,0.001
36,0.13412678,0.76235604,0.001
37,0.13124014,0.7642207,0.001
38,0.12967788,0.7306516,0.001
39,0.12786546,0.7863269,0.001
40,0.12639068,0.7515552,0.001
41,0.12826274,0.7607925,0.001
42,0.12835413,0.842525,0.001
43,0.1195819,0.77731466,0.001
44,0.1246176,0.7785599,0.001
45,0.121749066,0.77336574,0.001
46,0.11346755,0.7522626,0.001
47,0.11761562,0.7285149,0.001
48,0.11512356,0.7458329,0.001
49,0.11635372,0.75509405,0.001
50,0.11580974,0.7512307,0.001
51,0.1097327,0.7916641,0.001
52,0.11769081,0.7684307,0.001
53,0.10808181,0.7454555,0.001
54,0.108168066,0.78081656,0.001
55,0.10701221,0.7933891,0.001
56,0.1061045,0.77847433,0.001
57,0.111837775,0.7579274,0.001
58,0.10943236,0.7422962,0.001
59,0.103644386,0.74747014,0.001
60,0.107856475,0.76416945,0.001
61,0.10639145,0.74160314,0.001
62,0.10088885,0.78343654,0.001
63,0.09771851,0.79151964,0.001
64,0.10329085,0.7657726,0.001
65,0.101840355,0.8212917,0.001
66,0.09481525,0.76572275,0.001
67,0.10207259,0.75623083,0.001
68,0.09820778,0.76642513,0.001
69,0.0952875,0.7384529,0.001
70,0.09787843,0.73380494,0.001
71,0.09345725,0.788779,0.001
72,0.09721533,0.77800417,0.001
73,0.093726315,0.75030684,0.001
74,0.09534443,0.7852018,0.001
75,0.09424405,0.767822,0.001
76,0.09245776,0.75554776,0.001
77,0.09429365,0.7985325,0.001
78,0.09638786,0.76558185,0.001
79,0.09182142,0.758579,0.001
80,0.08971825,0.7749157,0.001
81,0.09641746,0.7390127,0.001
82,0.093293,0.72386026,0.001
83,0.09509289,0.7450979,0.001
84,0.087485835,0.7382624,0.001
85,0.08508055,0.7819896,0.001
86,0.088837825,0.8304801,0.001
87,0.09213281,0.77895856,0.001
88,0.08725486,0.7571626,0.001
89,0.09013594,0.79737663,0.001
90,0.086232744,0.74030495,0.001
91,0.089164324,0.7478454,0.001
92,0.08768087,0.7798765,0.001
93,0.08857538,0.77391744,0.001
94,0.08382977,0.7770827,0.001
95,0.086732194,0.76942706,0.001
96,0.08458056,0.7559571,0.001
97,0.08823935,0.75691485,0.001
98,0.08438458,0.76883507,0.001
99,0.08044729,0.7513318,0.001
100,0.08796175,0.76407313,0.001
