reviewerID,reviewerName,review_count,avg_rating,rating_std,min_rating,max_rating,avg_text_length,text_length_std,min_text_length,max_text_length,verified_count,verified_ratio,all_reviews_keywords,top_category,top_category_count,top_style_colors,top_style_sizes,top_style_color_count,top_style_size_count,content_vector,user_idx,dominant_color,dominant_size,interaction_degree,pca_3d_x,pca_3d_y,pca_3d_z
A10G10SU7SAUG1,melissa mans,6,3.6666666666666665,0.5163977794943222,3.0,4.0,68.16666666666667,54.60189251909375,16,153,4,0.6666666666666666,top like nice baby great lounge says happy nonsense words maternity fit though gave daughter,Allegra K,3,"['black', 'blue', 'khaki']","['xl', 'l', 'large', 'm', 's']",3,5,"[ 0.30996048 -0.15965332  0.0910526  -0.07294641 -0.02686598 -0.19905868
  0.15204516 -0.11382148 -0.0828476   0.15138555  0.08223453  0.00245932
 -0.09149025  0.09775878  0.01449999  0.08373345 -0.04395052  0.02135726
  0.13384011  0.04485374 -0.03187271  0.00999321 -0.08899449 -0.0223076
 -0.02193957  0.02848978 -0.02779153 -0.01879277  0.0008381  -0.04185541
  0.02411917  0.06636123 -0.02409648  0.01020123  0.03648404 -0.03049085
 -0.0110648   0.05091051 -0.02536486  0.02356007  0.04853594 -0.0020592
  0.05426678 -0.07102691  0.05120245 -0.01798098 -0.01218935  0.01493895
  0.02629249  0.03050839 -0.03850418  0.04623407 -0.05469188  0.03932098
  0.02664287 -0.03406895 -0.00477618  0.02004343  0.00932744  0.00322849
  0.0959147   0.00150222  0.01458158  0.05184673]",0,black,xl,6,1.0396113,0.270036,0.18885063
A10O1AB7D0KYZU,T. Murray,7,5.0,0.0,5.0,5.0,1837.2857142857144,877.4276255596459,354,2980,3,0.4285714285714285,dress images you class video fabric love wear like product link one type amazon women,ANGVNS,2,"['black', 'gray', 'green']","['m', 's']",3,2,"[ 1.23271830e-01  4.13341969e-02 -1.38628289e-01  1.24594413e-01
 -1.04332482e-02 -1.90075949e-01 -3.30106676e-01 -5.29862754e-02
  1.20686330e-01 -1.55889735e-01  2.71213859e-01 -4.88550924e-02
 -1.38302132e-01  1.36461824e-01 -5.47660962e-02 -7.06611052e-02
  1.88901909e-02  1.78608090e-01 -2.99232343e-04 -8.15674812e-02
 -3.03053651e-02 -1.44000262e-01  7.82088935e-02 -2.31339559e-02
  5.95748983e-02 -5.54841831e-02  2.15670876e-02 -3.20580937e-02
 -3.03046387e-02  2.52927393e-02  8.92423615e-02  2.00494863e-02
  1.34272233e-01  1.67521480e-02  1.21676184e-01  9.97298062e-02
 -8.40395913e-02  1.94543097e-02  1.14729419e-01 -5.19013777e-03
  6.50227144e-02  5.78068197e-02  3.54307219e-02 -8.78008604e-02
 -1.30313626e-02 -1.58162460e-01  2.73587927e-03  1.59164071e-02
  2.21128622e-03  2.27873102e-02  6.54002652e-02  8.92061181e-03
  1.11972854e-01  5.01104519e-02 -8.61146599e-02 -7.40167573e-02
  4.91524152e-02 -1.13805838e-01  1.44611940e-01  1.33768320e-02
  8.34719688e-02 -4.45799455e-02  3.32792923e-02  9.59061272e-03]",1,black,m,7,1.0139694,0.08727612,0.0559084
A10RXRZE0TAKPU,Mark S,6,4.0,0.0,4.0,4.0,468.0,0.0,468,468,6,1.0,shoe toe size comfortable picture makes look like boxier rather pointier actually wider feet generally,,0,[],"['m', 's', 'l']",0,3,"[-0.06684835  0.35773817  0.05368658  0.01753797 -0.06842989  0.03350388
  0.0508453   0.02311869 -0.0102687  -0.08738945  0.05862944  0.00644679
 -0.06597259 -0.04819617 -0.00577511 -0.0207952   0.00420561 -0.0880928
  0.03659981  0.01015359  0.0132542   0.00087076 -0.00765572 -0.00093461
 -0.04075627  0.02197472  0.00331404 -0.05267962  0.0385074  -0.00054974
 -0.03295954 -0.05236666 -0.01960035 -0.06098601 -0.0216558  -0.01579701
 -0.01718451  0.01232817  0.05865945  0.03231228  0.00533953 -0.0041471
  0.01007509  0.00807627 -0.01648431 -0.04903031  0.03789702  0.00668505
 -0.02100592  0.00142459 -0.04500682  0.02021275 -0.00555312 -0.00223954
 -0.00259241  0.02815039 -0.00948198  0.03004654  0.00244755 -0.00672007
  0.00637136  0.05601645  0.02563586 -0.00343544]",2,unknown,m,6,1.3238648,-0.03370933,0.10089212
A10WPKF2VH1JWY,J. Mitchell,6,4.0,0.0,4.0,4.0,20.0,0.0,20,20,6,1.0,wife happy fit,,0,[],"['m', 's', 'l']",0,3,"[-0.366216   -0.0486121   0.03300288  0.02026062 -0.02066261 -0.02110061
 -0.01379256 -0.00240035 -0.0866123   0.01797577 -0.00369149  0.01006633
  0.03377197 -0.03268526 -0.07419279  0.0180716  -0.03171458  0.04035157
  0.02069446 -0.00225809  0.01760748  0.04876803 -0.0247303  -0.01878812
 -0.00398178 -0.01491853  0.06348751  0.00099109 -0.01244813 -0.08789377
  0.01607959  0.12870105 -0.02167089 -0.02039795  0.04635069  0.00329456
  0.09384266  0.02182483  0.03247497  0.05870713  0.01073488  0.01275429
  0.01624406  0.00187223 -0.03815091  0.02947461  0.02324471 -0.00089404
  0.01648712  0.01792593 -0.00872821 -0.04721086 -0.00685257  0.03843465
 -0.04022215  0.0082737   0.01856998 -0.01406919 -0.02094888  0.01098855
  0.11384026  0.01600778 -0.06301536  0.05983951]",3,unknown,m,6,1.3261476,-0.054331146,0.07472795
A10X6EMVZGVX9E,vanessa nix,6,5.0,0.0,5.0,5.0,10.0,0.0,10,10,6,1.0,love,,0,[],"['m', 's', 'l']",0,3,"[-0.46475238 -0.05382996 -0.0486355  -0.08516295 -0.08884197  0.03444453
 -0.04097011 -0.11284453  0.03314204  0.07001381 -0.02633397  0.00485334
  0.00760504  0.00701194 -0.00543165  0.01582647  0.01533302  0.03832037
 -0.0377131   0.00550939  0.00256738 -0.01782165 -0.00221703 -0.01716469
  0.02920622 -0.01249981 -0.04628405  0.04140942 -0.03727675  0.00595837
 -0.01505733  0.03007182 -0.05783799  0.06505018 -0.04801075  0.02234259
 -0.02205577  0.01378393  0.02221022 -0.00523575  0.01456864  0.01777672
 -0.02166039 -0.02890371 -0.05713879 -0.02048636  0.03061178 -0.06347102
 -0.00369136 -0.02075699 -0.00419195 -0.06107681 -0.03196804 -0.04254645
 -0.0287823   0.0368495   0.01845997  0.03044978  0.00221893 -0.05425895
  0.01290242  0.02520596  0.00674099 -0.01476159]",4,unknown,m,6,1.3221004,-0.036056485,0.09514894
A10Z8PKPUJ7YHO,Pen Name,6,3.0,0.0,3.0,3.0,38.0,0.0,38,38,6,1.0,arch support love colors,,0,[],"['m', 's', 'l']",0,3,"[-0.19693859  0.15511198  0.04552418  0.20294595 -0.0324182  -0.14817737
  0.0200848   0.15779844 -0.00211717  0.0034415  -0.04892168  0.01770997
  0.1288734   0.20362802 -0.10041188 -0.03340732  0.01226051 -0.07063261
 -0.07188507 -0.02087414 -0.01265086 -0.02969701 -0.05940432 -0.00873797
 -0.00149426 -0.01581905 -0.01100937 -0.0177766  -0.02240508 -0.02607965
 -0.0064319  -0.00656422  0.00330568  0.0254216  -0.13919552 -0.00741395
 -0.04005048  0.03760509  0.05619473  0.06545873 -0.01264959  0.02107557
  0.03873021  0.00032013 -0.00074529 -0.00528292 -0.11741713 -0.02216044
 -0.00413215 -0.00286109 -0.0795491  -0.0254263   0.03890618 -0.00758287
  0.0269544  -0.03011946 -0.02585737 -0.02767449  0.01395339  0.01981483
 -0.00536687 -0.01506374 -0.08525676 -0.0109046 ]",5,unknown,m,6,1.3248141,-0.042236205,0.101396866
A11050ZKT750SK,Skipro56,5,4.6,0.5477225575051661,4.0,5.0,261.0,148.28519818242142,86,416,5,1.0,you zipper side love put one hand fit sure really think like looks actually bra,B.BANG,1,"['purple', 'silver']","['s', 'l']",2,2,"[ 0.15615064 -0.09519919  0.07070173  0.16921097  0.11893956 -0.04623925
 -0.07981318 -0.13174413 -0.18869743  0.07928161  0.07050156  0.19154182
 -0.0434959  -0.07217261 -0.04053482 -0.01946153  0.04434102 -0.00609107
 -0.02711865 -0.03021071 -0.03229007  0.09884129 -0.04523238  0.03123328
  0.02012639  0.06895424  0.07220476 -0.05709001 -0.12122677 -0.04072955
 -0.0354745  -0.0127718  -0.05915987  0.005403    0.06010637  0.045696
  0.0210053  -0.01458366  0.05245727  0.00356337 -0.01065543  0.01451133
 -0.0356951  -0.08560059 -0.003757   -0.01247123  0.00064702 -0.05495632
  0.04842737 -0.00376771 -0.04809347 -0.00945913 -0.00574038  0.05843507
  0.00530667 -0.03281619  0.01716798  0.00037258 -0.03478558  0.01919532
 -0.03136293  0.00332148 -0.00411011 -0.03461365]",6,purple,s,5,1.005717,0.24554901,0.14277828
A114KIJEBP6ER7,b.v,8,5.0,0.0,5.0,5.0,214.875,40.70604553204773,135,246,8,1.0,great alpaca arrived undamaged cardigan price expected celitas design men vneck buttons pockets fits fabric,CELITAS DESIGN,4,"['black', 'brown', 'khaki', 'silver', 'white']","['large', 'xx-large', 'one size', 's']",5,4,"[ 3.86816710e-01 -1.22499079e-01 -3.72313857e-02 -1.80538788e-01
 -1.84288025e-01 -3.12660217e-01 -1.07001856e-01  7.88311288e-02
 -3.97220440e-02 -2.75696516e-02 -1.58505976e-01  2.24054400e-02
 -3.81841185e-03  1.37742339e-02  2.27295965e-01 -4.05238867e-02
 -6.89924974e-03 -2.18057539e-02  9.11314338e-02  8.18435326e-02
  6.61053583e-02  2.30144579e-02  1.12836706e-02  8.31438042e-03
  1.32569727e-02 -7.30939060e-02 -5.57257384e-02  1.36717726e-02
 -6.66218251e-02 -4.59483229e-02 -3.70541550e-02  3.74015868e-02
  1.26986116e-01 -3.34724113e-02 -1.54495701e-01  2.46216115e-02
 -3.19563337e-02  2.91789342e-02  6.52468801e-02 -2.91668199e-04
 -7.13704154e-02  3.58094126e-02  2.01405236e-03 -2.83567421e-02
  7.22492673e-03 -1.02185234e-02 -9.22825094e-03 -1.57181043e-02
  3.62554155e-02  9.75669622e-02  2.20468119e-02  7.59768707e-04
 -4.86157015e-02  2.95030558e-03  1.90054681e-02 -6.68566003e-02
 -3.68770882e-02 -4.49582115e-02  7.14942068e-02  3.24579552e-02
  9.25964955e-03 -4.21274453e-02 -9.90377143e-02 -4.14882197e-06]",7,black,large,8,1.0291693,0.15419987,-0.14827551
A114ZPM7ZABSI7,Teresa Rowell,5,4.2,1.7888543819998322,1.0,5.0,13.8,6.942621983083913,5,20,5,1.0,great turned colors cute ear loved christmas gift,DDU,1,"['black', 'blue', 'silver', 'white']",['s'],4,1,"[-0.2522428  -0.08484963 -0.21155196  0.09475768 -0.02333641 -0.04258717
 -0.01755346 -0.04978192  0.02896824  0.06520003 -0.0826013  -0.01131177
  0.09607634  0.11948661  0.0708873  -0.04275221  0.07068296 -0.04117636
 -0.01563786 -0.01858831 -0.20769027 -0.07514786  0.05937409  0.05082751
  0.00089419  0.07779041  0.06373394  0.0112366   0.04965046  0.01997768
  0.06243628 -0.09529579  0.018621    0.13016649  0.03832264  0.01433299
  0.03013144 -0.04505491  0.00787631 -0.03677536  0.03309672  0.00406286
 -0.01098346  0.00535166 -0.03084275 -0.03083543 -0.03602405 -0.03386499
  0.00322133  0.01185396 -0.1040586  -0.02069549  0.00205534 -0.04401905
  0.01528217 -0.02429081 -0.00714585 -0.08162753  0.03431208  0.03039734
 -0.01370517  0.05232499 -0.02586623 -0.00896267]",8,black,s,5,1.0169578,-0.4095816,0.05977482
A11593W66FNIMM,CindyLouWho,5,4.0,0.7071067811865476,3.0,5.0,887.8,250.75725313537797,596,1193,0,0.0,review dress size you received use product opinion top promotional test discounted price honest unbiased,jntworld,1,"['black', 'blue']","['m', 'plus size', 's', 'xl']",2,4,"[ 0.18381107 -0.13859849  0.15974076  0.20677556 -0.25934646  0.05141596
 -0.30186456  0.01369318 -0.16503847 -0.07998313 -0.01222947 -0.14164454
  0.04174048 -0.05304493  0.04286483 -0.05105187 -0.03093358  0.06942904
  0.12982224  0.05631127  0.12280537 -0.06352386  0.15732257  0.07177307
  0.04547649  0.0189803  -0.03069418  0.00975188  0.02524685  0.09637542
  0.10836037  0.06199961 -0.11039495 -0.03623429  0.00522674  0.17644711
  0.06267482  0.00105661 -0.01576233  0.1501231   0.01177358  0.05835613
  0.03415504  0.03808287  0.04826459 -0.01903483  0.12381033  0.0488045
 -0.03000192 -0.11107271 -0.02122612  0.01397049  0.0170393   0.01855367
  0.10126694  0.0250697   0.01826096  0.0736856  -0.05224961  0.02515248
  0.03379587 -0.02163351 -0.02084895 -0.04798733]",9,black,m,5,0.99070257,0.022093622,0.30401912
