epoch,train_loss,epoch_time_seconds,learning_rate
1,0.020135134,0.2579317,1e-04
2,0.016453266,0.25624514,1e-04
3,0.013615982,0.27560067,1e-04
4,0.01587768,0.31370568,1e-04
5,0.012462287,0.34558868,1e-04
6,0.017640635,0.31301332,1e-04
7,0.011815386,0.30449796,1e-04
8,0.012725616,0.27873087,1e-04
9,0.008921911,0.2717445,1e-04
10,0.012769231,0.27230072,1e-04
11,0.01129312,0.27498484,1e-04
12,0.010626881,0.26848555,1e-04
13,0.013234343,0.2683537,1e-04
14,0.0105336225,0.2578249,1e-04
15,0.01885334,0.25258875,5e-05
16,0.009763829,0.2616775,5e-05
17,0.013382436,0.25082278,5e-05
18,0.0075387727,0.2562642,5e-05
19,0.011381765,0.25405717,5e-05
20,0.015031023,0.2775669,5e-05
21,0.008369172,0.275455,5e-05
22,0.014313495,0.27096272,5e-05
23,0.011211008,0.2747476,5e-05
24,0.010389428,0.2613151,2.5e-05
25,0.008362543,0.26790857,2.5e-05
26,0.008162238,0.2539358,2.5e-05
27,0.01214884,0.26172614,2.5e-05
28,0.010771732,0.26744556,2.5e-05
29,0.009811155,0.2819116,2.5e-05
30,0.009526137,0.26121545,1.25e-05
31,0.00796905,0.2582109,1.25e-05
32,0.012477635,0.261158,1.25e-05
33,0.010397526,0.25188875,1.25e-05
34,0.0111891385,0.25202513,1.25e-05
35,0.008661047,0.2570088,1.25e-05
36,0.013379218,0.27951407,6.25e-06
37,0.011774955,0.26912785,6.25e-06
38,0.011581297,0.26708126,6.25e-06
39,0.014239693,0.26449156,6.25e-06
40,0.009862835,0.26153588,6.25e-06
41,0.009899379,0.25224543,6.25e-06
42,0.009074437,0.25137448,3.125e-06
43,0.010855924,0.25699854,3.125e-06
44,0.014641453,0.26500106,3.125e-06
45,0.009635747,0.2742076,3.125e-06
46,0.009363384,0.2626469,3.125e-06
47,0.009654935,0.25755668,3.125e-06
48,0.009928827,0.26142693,1.5625e-06
49,0.008744003,0.26233768,1.5625e-06
50,0.0091580255,0.25430894,1.5625e-06
51,0.012589054,0.27322674,1.5625e-06
52,0.009418726,0.2685547,1.5625e-06
53,0.012426685,0.28083253,1.5625e-06
54,0.007350131,0.26970625,1.5625e-06
55,0.013220591,0.26797795,1.5625e-06
56,0.011955148,0.26208115,1.5625e-06
57,0.012732061,0.24730873,1.5625e-06
58,0.010929197,0.26037073,1.5625e-06
59,0.0152321365,0.2630186,1.5625e-06
60,0.009954113,0.25200772,7.8125e-07
61,0.009108808,0.24943614,7.8125e-07
62,0.00872111,0.26985765,7.8125e-07
63,0.008675043,0.2733004,7.8125e-07
64,0.011602207,0.25307846,7.8125e-07
65,0.0058454955,0.2686205,7.8125e-07
66,0.014714116,0.26893497,7.8125e-07
67,0.010507575,0.27245355,7.8125e-07
68,0.010866361,0.26043415,7.8125e-07
69,0.013048396,0.2652638,7.8125e-07
70,0.01252301,0.3223343,7.8125e-07
71,0.009076836,0.27607584,3.90625e-07
72,0.010723572,0.26161242,3.90625e-07
73,0.010232837,0.25500083,3.90625e-07
74,0.014924023,0.26767612,3.90625e-07
75,0.0100599695,0.25839353,3.90625e-07
76,0.0060462584,0.2637341,3.90625e-07
77,0.009155638,0.26066804,1.953125e-07
78,0.0114922095,0.26574445,1.953125e-07
79,0.0076323785,0.28053045,1.953125e-07
80,0.011423886,0.2603457,1.953125e-07
81,0.008396837,0.2672603,1.953125e-07
82,0.012387147,0.27890086,1.953125e-07
83,0.0071064983,0.24957752,9.765625e-08
84,0.01208027,0.25482798,9.765625e-08
85,0.010336418,0.25468445,9.765625e-08
86,0.010974088,0.2609818,9.765625e-08
87,0.010802854,0.26827288,9.765625e-08
88,0.008597436,0.26271272,9.765625e-08
89,0.011664639,0.2579353,4.8828124e-08
90,0.011227825,0.26400924,4.8828124e-08
91,0.008825111,0.26086402,4.8828124e-08
92,0.011063769,0.25520873,4.8828124e-08
93,0.013768534,0.2748127,4.8828124e-08
94,0.008325859,0.26357365,4.8828124e-08
95,0.013126327,0.2624092,2.4414062e-08
96,0.015082863,0.28641844,2.4414062e-08
97,0.00872797,0.27754903,2.4414062e-08
98,0.011673313,0.2541771,2.4414062e-08
99,0.01208521,0.25765324,2.4414062e-08
100,0.00918857,0.25671268,2.4414062e-08
