epoch,train_loss,epoch_time_seconds,learning_rate
1,1.4227096,0.3999431,0.0005
2,1.1826894,0.46484303,0.0005
3,1.0790124,0.45493698,0.0005
4,1.0338693,0.44527388,0.0005
5,1.0118538,0.45646095,0.0005
6,1.0028238,0.4617617,0.0005
7,0.9953241,0.49093843,0.0005
8,0.9966017,0.46303034,0.0005
9,0.9811175,0.4671824,0.0005
10,0.9745491,0.4578631,0.0005
11,0.9679425,0.49965024,0.0005
12,0.9523908,0.4564576,0.0005
13,0.9402688,0.44962597,0.0005
14,0.9306136,0.4483571,0.0005
15,0.92170167,0.44035077,0.0005
16,0.9183639,0.4627254,0.0005
17,0.8966232,0.46476817,0.0005
18,0.88234466,0.45947218,0.0005
19,0.86525995,0.44564033,0.0005
20,0.85506564,0.47347975,0.0005
21,0.8349604,0.457855,0.0005
22,0.80953306,0.45312452,0.0005
23,0.7844061,0.4445243,0.0005
24,0.75960666,0.47529602,0.0005
25,0.728421,0.4515612,0.0005
26,0.7031762,0.48879242,0.0005
27,0.6689917,0.4890082,0.0005
28,0.6439109,0.4748597,0.0005
29,0.62254983,0.45808172,0.0005
30,0.6079932,0.46436,0.0005
31,0.59705544,0.45951104,0.0005
32,0.58076656,0.4460187,0.0005
33,0.5659293,0.46300244,0.0005
34,0.56174755,0.45618868,0.0005
35,0.550473,0.472857,0.0005
36,0.54966116,0.45758843,0.0005
37,0.5357711,0.4749589,0.0005
38,0.525889,0.45265985,0.0005
39,0.5250508,0.4486804,0.0005
40,0.50783163,0.46700025,0.0005
41,0.5085168,0.45736766,0.0005
42,0.4930841,0.4503777,0.0005
43,0.49274683,0.456383,0.0005
44,0.4872743,0.44519114,0.0005
45,0.46801683,0.4596908,0.0005
46,0.47554448,0.51107264,0.0005
47,0.4558526,0.44760323,0.0005
48,0.4593545,0.45070934,0.0005
49,0.46720326,0.45271778,0.0005
50,0.44980153,0.5002568,0.0005
51,0.44786352,0.45628595,0.0005
52,0.46405622,0.4642334,0.0005
53,0.44195098,0.44877386,0.0005
54,0.41438586,0.4744649,0.0005
55,0.4244296,0.46654868,0.0005
56,0.4163943,0.4714291,0.0005
57,0.42460752,0.44824886,0.0005
58,0.41343892,0.4508357,0.0005
59,0.41101038,0.46573448,0.0005
60,0.40014073,0.45023894,0.0005
61,0.40784237,0.4577167,0.0005
62,0.39358786,0.44301677,0.0005
63,0.3944306,0.45911193,0.0005
64,0.40855056,0.48151565,0.0005
65,0.39771312,0.46113753,0.0005
66,0.3868193,0.45127344,0.0005
67,0.3906812,0.47307158,0.0005
68,0.39229923,0.45319223,0.0005
69,0.37565562,0.46897554,0.0005
70,0.38626224,0.46045732,0.0005
71,0.3725649,0.44998646,0.0005
72,0.37038425,0.46158695,0.0005
73,0.37739792,0.4501331,0.0005
74,0.3793283,0.5053561,0.0005
75,0.37440348,0.5488541,0.0005
76,0.370914,0.46931887,0.0005
77,0.3601539,0.47069144,0.0005
78,0.36371422,0.48023748,0.0005
79,0.35936508,0.47606754,0.0005
80,0.3630309,0.46508765,0.0005
81,0.3520276,0.46443367,0.0005
82,0.34947485,0.4626298,0.0005
83,0.36189598,0.47256398,0.0005
84,0.35251,0.4716859,0.0005
85,0.33990434,0.4467075,0.0005
86,0.34841532,0.46313787,0.0005
87,0.35283622,0.46051764,0.0005
88,0.35344267,0.5115905,0.0005
89,0.34568653,0.4765463,0.0005
90,0.3321961,0.45367265,0.0005
91,0.32896668,0.46220183,0.0005
92,0.3433315,0.467762,0.0005
93,0.3268058,0.50775766,0.0005
94,0.33514357,0.4618852,0.0005
95,0.32049304,0.4610572,0.0005
96,0.31895462,0.4555123,0.0005
97,0.32246196,0.48018622,0.0005
98,0.33562934,0.46755433,0.0005
99,0.31994155,0.47471,0.0005
100,0.3252193,0.44179678,0.0005
