epoch,train_loss,epoch_time_seconds,learning_rate
1,1.4350246,0.4031098,0.0005
2,1.184805,0.45558453,0.0005
3,1.0844226,0.63473225,0.0005
4,1.0366901,0.46157384,0.0005
5,1.0221078,0.4622035,0.0005
6,1.0063882,0.45755482,0.0005
7,0.99722,0.4348116,0.0005
8,0.97925264,0.49869227,0.0005
9,0.96925557,0.57991195,0.0005
10,0.96105015,0.5827024,0.0005
11,0.9409785,0.4965098,0.0005
12,0.9320517,0.46033692,0.0005
13,0.92541265,0.4828086,0.0005
14,0.91265476,0.46271634,0.0005
15,0.89832354,0.4476192,0.0005
16,0.8854944,0.44964314,0.0005
17,0.8639885,0.47427154,0.0005
18,0.8511755,0.46077633,0.0005
19,0.83368605,0.45890355,0.0005
20,0.8155333,0.46807194,0.0005
21,0.78106195,0.45181704,0.0005
22,0.7475823,0.49544477,0.0005
23,0.72467846,0.44960928,0.0005
24,0.69093174,0.44515634,0.0005
25,0.66242206,0.4467411,0.0005
26,0.6384045,0.44209647,0.0005
27,0.60986894,0.4651525,0.0005
28,0.59056056,0.4556811,0.0005
29,0.57530934,0.46145105,0.0005
30,0.5655579,0.44918776,0.0005
31,0.54442734,0.50412583,0.0005
32,0.5288076,0.48964024,0.0005
33,0.5358507,0.46150374,0.0005
34,0.5163256,0.4539411,0.0005
35,0.49891305,0.4662032,0.0005
36,0.50578785,0.45440078,0.0005
37,0.4890099,0.4777422,0.0005
38,0.4746792,0.45732307,0.0005
39,0.47692975,0.47527266,0.0005
40,0.45456603,0.45418477,0.0005
41,0.47074395,0.4894991,0.0005
42,0.4491847,0.4654312,0.0005
43,0.44674134,0.4480548,0.0005
44,0.43326372,0.46039796,0.0005
45,0.44129115,0.4454775,0.0005
46,0.44085118,0.47545624,0.0005
47,0.42558736,0.45587468,0.0005
48,0.40563247,0.45946145,0.0005
49,0.4213659,0.45866942,0.0005
50,0.4017379,0.47605348,0.0005
51,0.4118369,0.48493266,0.0005
52,0.37832892,0.4509089,0.0005
53,0.40293527,0.44933772,0.0005
54,0.38657796,0.45978785,0.0005
55,0.38255677,0.45471525,0.0005
56,0.39045855,0.4497323,0.0005
57,0.37981424,0.4609363,0.0005
58,0.36804968,0.4419973,0.0005
59,0.379183,0.45609927,0.0005
60,0.36316216,0.45508385,0.0005
61,0.35782585,0.4768226,0.0005
62,0.376837,0.45842314,0.0005
63,0.37434122,0.45472836,0.0005
64,0.3656416,0.4577732,0.0005
65,0.34715727,0.43671703,0.0005
66,0.3553858,0.48256993,0.0005
67,0.3358304,0.45535064,0.0005
68,0.3456242,0.46222973,0.0005
69,0.35380995,0.49010706,0.0005
70,0.35001823,0.50734925,0.0005
71,0.3315373,0.48330188,0.0005
72,0.33247465,0.48226023,0.0005
73,0.33818042,0.46276236,0.0005
74,0.3295014,0.46103334,0.0005
75,0.32703832,0.46665335,0.0005
76,0.31195584,0.46366477,0.0005
77,0.3180098,0.47218847,0.0005
78,0.32875583,0.46949792,0.0005
79,0.32657668,0.48385,0.0005
80,0.33668336,0.5307183,0.0005
81,0.30235413,0.47992563,0.0005
82,0.33005458,0.4585724,0.0005
83,0.3153899,0.45757842,0.0005
84,0.32384816,0.461308,0.0005
85,0.3176644,0.46000314,0.0005
86,0.3138819,0.4680555,0.0005
87,0.3127841,0.46207285,0.0005
88,0.32106474,0.45335913,0.0005
89,0.30501965,0.47809887,0.0005
90,0.31171763,0.4632256,0.0005
91,0.30045688,0.4506786,0.0005
92,0.30033013,0.45187998,0.0005
93,0.29505107,0.47073293,0.0005
94,0.30002564,0.46328187,0.0005
95,0.30209318,0.48312545,0.0005
96,0.30933702,0.46022415,0.0005
97,0.30703923,0.45073104,0.0005
98,0.30220023,0.44685006,0.0005
99,0.28822547,0.4664948,0.0005
100,0.28616384,0.46089816,0.0005
