epoch,train_loss,epoch_time_seconds,learning_rate
1,1.432342,0.48669004,0.0005
2,1.1874714,0.44491172,0.0005
3,1.0712057,0.64335513,0.0005
4,1.0318471,0.48568392,0.0005
5,1.012956,0.45779347,0.0005
6,1.0042535,0.44142222,0.0005
7,0.9931575,0.5021715,0.0005
8,0.98419577,0.4638822,0.0005
9,0.980093,0.4703672,0.0005
10,0.97142845,0.4659741,0.0005
11,0.9603089,0.48980045,0.0005
12,0.9493911,0.44318366,0.0005
13,0.93705416,0.5009701,0.0005
14,0.92156327,0.48332357,0.0005
15,0.91522956,0.48107743,0.0005
16,0.89012253,0.46365142,0.0005
17,0.8750029,0.45728564,0.0005
18,0.85426944,0.5106337,0.0005
19,0.8346023,0.46282172,0.0005
20,0.8176587,0.45924187,0.0005
21,0.7771479,0.43773866,0.0005
22,0.7493748,0.45824838,0.0005
23,0.7351747,0.45621896,0.0005
24,0.6995584,0.4551947,0.0005
25,0.6801889,0.4459958,0.0005
26,0.6599874,0.44457316,0.0005
27,0.62399983,0.4560187,0.0005
28,0.6290348,0.45915604,0.0005
29,0.5965515,0.45461917,0.0005
30,0.5828318,0.45252275,0.0005
31,0.56763345,0.47912312,0.0005
32,0.561702,0.47776103,0.0005
33,0.5636126,0.49711442,0.0005
34,0.5422085,0.547431,0.0005
35,0.5250721,0.5717795,0.0005
36,0.5167223,0.5128236,0.0005
37,0.5205462,0.4614997,0.0005
38,0.5115284,0.463634,0.0005
39,0.49739748,0.4755001,0.0005
40,0.4868109,0.4531126,0.0005
41,0.49779785,0.48782444,0.0005
42,0.48326686,0.46240592,0.0005
43,0.48115778,0.4664986,0.0005
44,0.48360708,0.4444332,0.0005
45,0.48040456,0.47875547,0.0005
46,0.46947533,0.48063612,0.0005
47,0.45826554,0.4539473,0.0005
48,0.4491059,0.46661925,0.0005
49,0.45695317,0.496356,0.0005
50,0.4539267,0.5537627,0.0005
51,0.437757,0.50523067,0.0005
52,0.43838587,0.4483645,0.0005
53,0.43636194,0.47656202,0.0005
54,0.42184544,0.46329165,0.0005
55,0.42326516,0.47425866,0.0005
56,0.42521366,0.4584744,0.0005
57,0.4091535,0.44050193,0.0005
58,0.42253563,0.44914937,0.0005
59,0.41861486,0.44387197,0.0005
60,0.40841934,0.46510148,0.0005
61,0.41339633,0.44342232,0.0005
62,0.40935618,0.4580691,0.0005
63,0.40741694,0.45717978,0.0005
64,0.39385718,0.4448173,0.0005
65,0.39713702,0.47141314,0.0005
66,0.39427084,0.44740534,0.0005
67,0.39435023,0.4429469,0.0005
68,0.3861773,0.44466758,0.0005
69,0.39172018,0.4468615,0.0005
70,0.40046164,0.45746613,0.0005
71,0.38363332,0.45705914,0.0005
72,0.38473806,0.44542837,0.0005
73,0.38249126,0.4531381,0.0005
74,0.37682846,0.5308366,0.0005
75,0.37163007,0.51456785,0.0005
76,0.3718995,0.47594547,0.0005
77,0.36033747,0.46034813,0.0005
78,0.37383276,0.44273138,0.0005
79,0.37009716,0.45366907,0.0005
80,0.36690205,0.46800447,0.0005
81,0.345995,0.45051312,0.0005
82,0.36318895,0.45031095,0.0005
83,0.35286376,0.4446211,0.0005
84,0.34679508,0.47126508,0.0005
85,0.35089213,0.4480877,0.0005
86,0.3590168,0.45284796,0.0005
87,0.3409233,0.44893813,0.0005
88,0.35540524,0.47072077,0.0005
89,0.3382743,0.4700606,0.0005
90,0.3298948,0.46153808,0.0005
91,0.34076855,0.4592564,0.0005
92,0.3443864,0.4589386,0.0005
93,0.33221373,0.45500946,0.0005
94,0.3242758,0.47012043,0.0005
95,0.34321687,0.47109175,0.0005
96,0.32729387,0.46679664,0.0005
97,0.3281168,0.46422863,0.0005
98,0.32911682,0.4999981,0.0005
99,0.3372389,0.46636677,0.0005
100,0.32638085,0.45477486,0.0005
